feature,country_count,rest_count,log_odds,weighted_score,feature_type,country
corn + flour,3,28,3.156560118802059,5.344520865417673,pair,Ghana
feta_cheese,3,3,4.403811423174052,7.456300894864827,ingredient,Greece
orange_zest,5,18,3.3424408200284934,6.3368658148387125,ingredient,Greece
sheep_milk,2,4,3.8458832029236008,5.958450476680669,ingredient,Greece
blue_cheese,1,1,4.314003789453699,5.809123571246075,ingredient,Greece
cow_foot,1,1,4.314003789453699,5.809123571246075,ingredient,Greece
lemon_juice + oregano,4,6,4.114380588982521,7.425300642028228,pair,Greece
lemon_zest + walnut,4,7,3.9802655955243935,7.18326077102142,pair,Greece
lemon + oregano,4,7,3.9802655955243935,7.18326077102142,pair,Greece
cinnamon + olive_oil,4,11,3.5724626722077,6.447291104911055,pair,Greece
cinnamon + olive,4,11,3.5724626722077,6.447291104911055,pair,Greece
corn_masa,2,3,4.769142604113849,7.388861939758901,ingredient,Guatemala
jalapeno,3,11,4.048882188145344,6.855353461277671,ingredient,Guatemala
masa,1,1,4.970970037703824,6.69377697084501,ingredient,Guatemala
string_bean,1,1,4.970970037703824,6.69377697084501,ingredient,Guatemala
yucca,1,1,4.970970037703824,6.69377697084501,ingredient,Guatemala
cilantro + oregano,2,8,3.9553146750614494,6.127993328847359,pair,Guatemala
oregano + vinegar,3,18,3.5852717872835247,6.070392818180216,pair,Guatemala
olive_oil + oregano,3,19,3.5333945512735414,5.98255702229467,pair,Guatemala
jalapeno + onion,2,10,3.753482539282908,5.815293560761599,pair,Guatemala
achiote + garlic,2,10,3.753482539282908,5.815293560761599,pair,Guatemala
cottage_cheese,3,2,4.793322663092839,8.11580075252973,ingredient,Hungary
sour_cream,8,34,3.4341188613874496,7.2068840432546395,ingredient,Hungary
vanilla_sugar,3,5,4.098429773622871,6.939244815932499,ingredient,Hungary
plum,1,1,4.406138358488116,5.933189548659648,ingredient,Hungary
casing,1,1,4.406138358488116,5.933189548659648,ingredient,Hungary
cream + paprika,4,6,4.22090728553053,7.6175513906316015,pair,Hungary
garlic + sour_cream,5,12,3.837845417207008,7.276093351064083,pair,Hungary
cream + sour_cream,8,34,3.4341188613874496,7.2068840432546395,pair,Hungary
potato + sour_cream,4,8,3.9684266763594414,7.161894849183309,pair,Hungary
butter + sour_cream,4,13,3.523672508038268,6.3592385707575385,pair,Hungary
cumin_seed,20,5,4.740317918689734,11.95632005138638,ingredient,India
coriander_leaf,16,3,4.8601647031146555,11.745106448702385,ingredient,India
ghee,25,11,4.360325467159781,11.46350612175987,ingredient,India
coriander_powder,14,3,4.69928347755857,11.06223126077796,ingredient,India
turmeric_powder,18,6,4.4470177993097995,10.994004073977168,ingredient,India
coriander_leaf + turmeric,14,0,6.087372634254484,14.329827977442958,pair,India
green_chili + mustard_seed,13,0,6.000988020055663,13.919463729686292,pair,India
coriander + curry_leaf,12,0,5.909785614542641,13.48893602192093,pair,India
green_chili + turmeric_powder,15,1,5.475865644589334,13.067027309933662,pair,India
coriander_leaf + mustard,11,0,5.812935788552724,13.035237186435381,pair,India
tempeh,10,0,5.6759380750022315,12.481090614374299,ingredient,Indonesia
